timestamp(TEXT),retweetcount(TEXT),tweet(TEXT)
12-30-2010 21:42:01,144,WIshing everyone a happy healthy and prosperous New Year!
12-23-2010 16:26:18,109,Wishing everyone a very Happy Holiday season!
12-16-2010 14:30:23,112,Don't forget to watch Larry King tonight CNN at 9 pm.  He's a television legend and a great friend. It's going to be a fantastic farewell.
12-14-2010 20:55:30,250,I'll be appearing on Larry King Live for his final show Thursday night at 9 p.m. CNN. Larry's been on TV for 25 years...
08-24-2010 14:07:12,193,Congratulations to Miss Mexico Jimena Navarrete our new Miss Universe 2010 and congratulations to everyone for a fantastic show.
05-17-2010 16:48:39,117,Congratulations to our new Miss USA  the beautiful Rima Fakih.  Rima will represent us well at Miss Universe and be a wonderful Miss USA .
04-21-2010 14:43:32,3257,Melania and I saw American Idiot on Broadway last night and it was great. An amazing  theatrical experience!
01-21-2010 16:58:43,3813,from Donald Trump: I saw Lady Gaga last night and she was fantastic!
05-12-2009 14:07:28,1421,My persona will never be that of a wallflower - Iâ€™d rather build walls than cling to them --Donald J. Trump
05-04-2009 18:54:25,253,Be sure to tune in and watch Donald Trump on Late Night with David Letterman as he presents the Top Ten List tonight!
